,StepLengthRatio,StrideWidthRatio,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeftRatio,StrideTimeLeft,VelocityRatio,AccelerationRatio,RightThighRotationX,RightThighRotationY,RightThighRotationZ,RightThighRotationW,LeftThighRotationX,LeftThighRotationY,LeftThighRotationZ,LeftThighRotationW,RightShinRotationX,RightShinRotationY,RightShinRotationZ,RightShinRotationW,LeftShinRotationX,LeftShinRotationY,LeftShinRotationZ,LeftShinRotationW,RightShoulderRotationX,RightShoulderRotationY,RightShoulderRotationZ,RightShoulderRotationW,LeftShoulderRotationX,LeftShoulderRotationY,LeftShoulderRotationZ,LeftShoulderRotationW,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
count,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0,113042.0
mean,-0.015352613939951524,-0.011269653075847914,-0.07325130057854601,0.010606230091470421,-0.03230364681268909,0.008838357345057574,-0.1032471834185524,-10.213113774641283,0.002521243007023938,0.03830330654977796,-0.001711384573875197,-0.013618647069230902,-3.75050069885516e-05,-0.011181880451513597,0.002489756276428229,-0.03871113086286514,-0.006001702871499089,0.03775410309442508,0.001728746802073564,-0.012682598343978337,-0.006378923143610343,-0.007628848489941786,-0.004761270094301233,-0.038577035305461686,0.015622010518214468,0.018057364200916474,-0.02216306094195078,-0.023754975938146898,-0.019064648599635525,0.019592430415243892,0.023032264901541033,-0.022296345827214663,0.030508656853205,-0.0011075334919764318,-0.03833798899524071,0.007873215902054103
std,0.222162561723399,0.2736509172120111,0.2841373832320287,0.11497452584729453,0.28558081693506554,0.42604111820253354,0.5952061192748958,148.2156507115216,0.13271452732092245,0.7427015558928703,0.14056392137600954,0.7746553859275187,0.13281340541458797,0.7771275661962566,0.12844917072123238,0.74686090831841,0.19107264747681138,0.7321003699418306,0.20415109044336524,0.7647055583836538,0.20242243736266438,0.7653960474386677,0.19676569530648977,0.7391499507136028,0.5317427238171119,0.5340047461834783,0.5531282145645481,0.5491540270512802,0.5320606995320178,0.5243858055696664,0.5556438159367475,0.5517750487249581,0.7290207048035384,0.14604342715428556,0.7749115467589083,0.1449598789179782
min,-0.765465,-0.883502,-1.2356010000000002,-0.5229199999999999,-1.181754,-6.91319,-20.109353,-5043.36066,-0.472005,-1.993746,-0.474188,-1.98679,-0.459747,-1.984362,-0.437335,-1.993733,-0.687503,-1.982413,-0.8878839999999999,-1.989016,-0.864571,-1.982847,-0.7415259999999999,-1.963498,-1.459296,-1.487788,-1.443398,-1.410601,-1.472494,-1.413191,-1.457077,-1.383183,-1.909559,-0.574029,-1.964981,-0.5424880000000001
25%,-0.16893075000000002,-0.19774149999999996,-0.194612,-0.0340759999999999,-0.1782199999999999,-0.020022,-0.415601,-55.97303475,-0.07906674999999998,-0.31596050000000003,-0.08864974999999997,-0.35755774999999995,-0.08130649999999992,-0.36999424999999997,-0.07726975,-0.4205699999999999,-0.1210295,-0.3157627499999999,-0.12142775,-0.3701145,-0.1339035,-0.35722975,-0.12577025,-0.42299374999999995,-0.17240999999999992,-0.17633774999999996,-0.23785674999999998,-0.24162250000000002,-0.2201157499999999,-0.168547,-0.212418,-0.20820924999999998,-0.25739699999999993,-0.086958,-0.3215485,-0.073512
50%,-0.01291,-0.01034849999999995,-0.0360559999999999,0.003997,-0.0322789999999999,0.0157869999999999,-0.09435099999999991,-7.671382499999998,0.0004545,-0.0014665,-0.00190399999999995,0.00133849999999995,-0.00293499999999995,0.00102649999999995,0.00154999999999995,-0.0028949999999999,-0.0021164999999999,0.0013935,-0.00178599999999995,0.0021035000000000003,-0.0023529999999999497,0.00278,-0.00142699999999995,-0.0071459999999999,0.005620999999999951,0.0012654999999999498,0.0008304999999999,0.0014289999999999498,-0.0036119999999999998,0.0073375,0.00061499999999985,0.00090799999999995,0.0030624999999999,-0.009723499999999951,-0.011605999999999901,0.009339999999999949
75%,0.1375555,0.18065624999999993,0.075244,0.046924,0.119529,0.063327,0.197191,31.338628250000006,0.08534699999999999,0.411674,0.08794975,0.37596975,0.0795025,0.392598,0.08270325,0.31773450000000003,0.1034055,0.405413,0.127908,0.37756625,0.11584675,0.38900825,0.11695425000000001,0.3256994999999999,0.22212525,0.2279372499999999,0.21150575,0.2057294999999999,0.17279899999999998,0.20215899999999998,0.21754475,0.19997599999999993,0.33785350000000003,0.08505199999999997,0.29937474999999997,0.09378199999999992
max,0.623262,0.862367,0.965783,0.7180749999999999,1.173859,1.118847,21.94799,5259.25274,0.473949,1.990171,0.4617259999999999,1.962986,0.475422,1.967349,0.423749,1.974147,0.736209,1.965295,0.79479,1.975167,0.7062649999999999,1.977547,0.847605,1.971833,1.461318,1.423561,1.436396,1.440173,1.512714,1.433425,1.4603389999999998,1.434183,1.95968,0.5737460000000001,1.989571,0.5893269999999999
