Frame,FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
1,RightFinger1Metacarpal,0.01930737,-0.0009565353,0.02587529,0.09904467,-0.3696427,0.239117,0.8923998
1,RightFinger2Metacarpal,0.02458119,-0.0009570122,0.01489792,-9.998465E-07,-1.081485E-07,0.08715618,0.9961947
1,RightFinger3Metacarpal,0.02571321,-0.0009567738,0.005061258,-9.834768E-07,8.940605E-08,4.768371E-07,1
1,RightFinger4Metacarpal,0.02548623,-0.0009567738,-0.005087513,-9.674469E-07,1.082601E-07,-0.08715542,0.9961947
1,RightFinger5Metacarpal,0.02311563,-0.0009566545,-0.013822,-1.3839E-06,5.295284E-07,-0.1736479,0.9848078
2,RightFinger1Metacarpal,0.01930737,-0.0009565353,0.02587529,0.09904467,-0.3696427,0.239117,0.8923998
2,RightFinger2Metacarpal,0.02458119,-0.0009570122,0.01489792,-9.998465E-07,-1.081485E-07,0.08715618,0.9961947
2,RightFinger3Metacarpal,0.02571321,-0.0009567738,0.005061258,-9.834768E-07,8.940605E-08,4.768371E-07,1
2,RightFinger4Metacarpal,0.02548623,-0.0009567738,-0.005087513,-9.674469E-07,1.082601E-07,-0.08715542,0.9961947
2,RightFinger5Metacarpal,0.02311563,-0.0009566545,-0.013822,-1.3839E-06,5.295284E-07,-0.1736479,0.9848078
3,RightFinger1Metacarpal,-0.0157913,0.02384901,0.01500264,-0.2579846,-0.4548375,0.283868,0.8037329
3,RightFinger2Metacarpal,-0.004299283,0.02168,0.01840055,1.072567E-06,5.537619E-07,-0.08715721,-0.9961951
3,RightFinger3Metacarpal,0.004684091,0.01754785,0.0189164,-8.396113E-07,-1.799265E-07,2.311375E-07,1.000001
3,RightFinger4Metacarpal,0.01344204,0.0124346,0.01846704,-7.380441E-07,-1.611367E-07,-0.08715414,0.9961952
3,RightFinger5Metacarpal,0.0201838,0.00670898,0.0165498,-1.050266E-06,2.797164E-07,-0.1736465,0.9848087
4,RightFinger1Metacarpal,-0.01590037,0.02334929,0.01565915,-0.2596989,-0.455532,0.2821966,0.8033764
4,RightFinger2Metacarpal,-0.004261851,0.02143633,0.01869267,1.079586E-06,4.795713E-07,-0.08715724,-0.9961956
4,RightFinger3Metacarpal,0.004830003,0.01752031,0.01890528,-8.828274E-07,-1.125826E-07,1.363337E-07,1.000001
4,RightFinger4Metacarpal,0.01369083,0.01262498,0.0181523,-6.606742E-07,-6.071325E-08,-0.08715408,0.9961957
4,RightFinger5Metacarpal,0.02050769,0.007079124,0.0159879,-9.981021E-07,5.142631E-07,-0.1736467,0.984809
5,RightFinger1Metacarpal,-0.01556802,0.02299583,0.01649398,-0.2607715,-0.4559587,0.2813023,0.8031001
5,RightFinger2Metacarpal,-0.003871441,0.02101517,0.01924741,1.194106E-06,5.542493E-07,-0.08715713,-0.9961951
5,RightFinger3Metacarpal,0.005221009,0.01709521,0.01918846,-9.14251E-07,-1.319174E-07,6.216695E-08,1
5,RightFinger4Metacarpal,0.01406252,0.01221752,0.01814711,-7.273779E-07,-1.31694E-07,-0.08715415,0.9961953
5,RightFinger5Metacarpal,0.02083135,0.006720781,0.0157221,-1.083713E-06,4.90802E-07,-0.1736467,0.9848086
6,RightFinger1Metacarpal,-0.0153842,0.02269173,0.01707709,-0.2629364,-0.4567735,0.2805815,0.8021828
6,RightFinger2Metacarpal,-0.00361526,0.02077603,0.01955432,9.45405E-07,4.802951E-07,-0.08715717,-0.996195
6,RightFinger3Metacarpal,0.005504012,0.01693022,0.01925552,-9.216591E-07,-2.50327E-07,1.045135E-07,1
6,RightFinger4Metacarpal,0.01435852,0.01213527,0.01796949,-6.533196E-07,1.65779E-08,-0.08715414,0.9961952
6,RightFinger5Metacarpal,0.02111566,0.00671947,0.01533854,-1.043688E-06,4.237179E-07,-0.1736465,0.9848085
7,RightFinger1Metacarpal,-0.01527023,0.02246749,0.01747152,-0.2641463,-0.4572079,0.2806597,0.8015106
7,RightFinger2Metacarpal,-0.003451347,0.02061582,0.01975265,1.015235E-06,5.642956E-07,-0.08715717,-0.9961955
7,RightFinger3Metacarpal,0.005687952,0.01683497,0.0192855,-8.134827E-07,-2.039457E-07,4.807124E-08,1.000001
7,RightFinger4Metacarpal,0.01455379,0.01211011,0.01782903,-7.720046E-07,-6.118189E-08,-0.08715425,0.9961956
7,RightFinger5Metacarpal,0.02130568,0.006759167,0.01505587,-9.792967E-07,4.543302E-07,-0.1736467,0.9848089
8,RightFinger1Metacarpal,-0.01505637,0.02202988,0.01819912,-0.2628833,-0.4567306,0.2811532,0.8020244
8,RightFinger2Metacarpal,-0.003157616,0.0202955,0.02012995,9.71111E-07,5.075076E-07,-0.08715723,-0.9961951
8,RightFinger3Metacarpal,0.006010771,0.01663649,0.01935968,-8.433838E-07,-1.253624E-07,1.459165E-07,1
8,RightFinger4Metacarpal,0.01489007,0.01204383,0.01759458,-6.874512E-07,-1.235094E-07,-0.08715411,0.9961954
8,RightFinger5Metacarpal,0.02162778,0.006817102,0.01456234,-9.87961E-07,5.178518E-07,-0.1736467,0.9848085
9,RightFinger1Metacarpal,-0.01498961,0.02180803,0.01851872,-0.2621971,-0.4565009,0.2807039,0.8025376
9,RightFinger2Metacarpal,-0.003064752,0.02011716,0.02032235,1.041803E-06,6.373551E-07,-0.08715713,-0.9961953
9,RightFinger3Metacarpal,0.006113648,0.01651013,0.01943561,-7.656622E-07,-1.878388E-07,8.732109E-08,1.000001
9,RightFinger4Metacarpal,0.01499808,0.01197588,0.01754922,-7.324668E-07,-1.959729E-07,-0.08715427,0.9961956
9,RightFinger5Metacarpal,0.02173209,0.006807208,0.014411,-1.056251E-06,2.924916E-07,-0.1736467,0.9848088
10,RightFinger1Metacarpal,-0.01496971,0.02162015,0.01875359,-0.2628554,-0.4567757,0.2798155,0.8024762
10,RightFinger2Metacarpal,-0.00303483,0.01994014,0.02050066,1.070075E-06,5.648157E-07,-0.0871572,-0.9961953
10,RightFinger3Metacarpal,0.006147981,0.0163604,0.01955098,-8.985248E-07,-2.017692E-07,1.113926E-07,1.000001
10,RightFinger4Metacarpal,0.01503527,0.01186132,0.01759526,-6.716721E-07,-1.26197E-07,-0.08715411,0.9961957
10,RightFinger5Metacarpal,0.02176893,0.006733537,0.0143899,-1.140909E-06,4.973018E-07,-0.1736468,0.9848089
11,RightFinger1Metacarpal,-0.01492345,0.02152443,0.01889998,-0.2647662,-0.4574959,0.2791005,0.8016858
11,RightFinger2Metacarpal,-0.002992034,0.01980758,0.02063489,1.029996E-06,5.913168E-07,-0.08715724,-0.996195
11,RightFinger3Metacarpal,0.006183147,0.01621509,0.01966065,-8.664854E-07,-1.858322E-07,3.689314E-08,1
11,RightFinger4Metacarpal,0.0150609,0.01171076,0.01767403,-5.732164E-07,-2.210983E-07,-0.08715404,0.9961953
11,RightFinger5Metacarpal,0.02178359,0.006590605,0.01443374,-9.618315E-07,3.627703E-07,-0.1736466,0.9848087
12,RightFinger1Metacarpal,-0.01481545,0.02156162,0.01894253,-0.2660555,-0.4579805,0.2786237,0.801148
12,RightFinger2Metacarpal,-0.002897859,0.01976359,0.02069044,1.085895E-06,5.813517E-07,-0.08715726,-0.9961952
