Frame,FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
1,RightFinger1Metacarpal,0.01930737,-0.0009565353,0.02587529,0.09904467,-0.3696427,0.239117,0.8923998
1,RightFinger1Proximal,0.05117106,-0.0009567738,0.04427146,-1.443696E-06,-0.3826817,-5.929373E-07,0.9238802
1,RightFinger1Distal,0.07909727,-0.0009567738,0.0442715,-1.473498E-06,-0.3826817,-3.843211E-07,0.9238802
1,RightFinger1Tip,0.1110003,-0.0009565353,0.04427176,9.702925E-07,-0.3826818,6.289579E-07,0.9238802
1,RightFinger2Metacarpal,0.02458119,-0.0009570122,0.01489792,-9.998465E-07,-1.081485E-07,0.08715618,0.9961947
1,RightFinger2Proximal,0.07497978,-0.0009571314,0.02378415,-4.172334E-07,9.536739E-07,5.960468E-08,1
1,RightFinger2Medial,0.1175172,-0.0009570122,0.02378406,-3.576287E-07,9.53674E-07,3.730349E-14,1
1,RightFinger2Distal,0.1436875,-0.0009571314,0.023784,-2.533206E-07,9.685753E-07,4.470354E-08,1
1,RightFinger2Tip,0.1693344,-0.000956893,0.02378383,-1.78815E-07,1.192093E-06,-5.96046E-08,1
1,RightFinger3Metacarpal,0.02571321,-0.0009567738,0.005061258,-9.834768E-07,8.940605E-08,4.768371E-07,1
1,RightFinger3Proximal,0.07556105,-0.0009570122,0.005060956,-4.172333E-07,8.046623E-07,1.78814E-07,1
1,RightFinger3Medial,0.1192305,-0.0009570122,0.005060896,-3.874309E-07,8.046623E-07,1.490117E-07,1
1,RightFinger3Distal,0.1480336,-0.0009572506,0.00506084,-3.576286E-07,8.046624E-07,1.192093E-07,1
1,RightFinger3Tip,0.1758914,-0.0009570122,0.005060643,5.960394E-08,7.748604E-07,5.960473E-08,1
1,RightFinger4Metacarpal,0.02548623,-0.0009567738,-0.005087513,-9.674469E-07,1.082601E-07,-0.08715542,0.9961947
1,RightFinger4Proximal,0.07249832,-0.000956893,-0.0133774,-4.917391E-07,8.493657E-07,1.341105E-07,0.9999999
1,RightFinger4Medial,0.1132872,-0.0009570122,-0.01337742,-4.172334E-07,9.536739E-07,5.960468E-08,1
1,RightFinger4Distal,0.1395929,-0.0009572506,-0.01337749,-3.129253E-07,9.685751E-07,1.043082E-07,1
1,RightFinger4Tip,0.1652043,-0.000956893,-0.01337751,-1.93716E-07,9.685753E-07,1.043082E-07,1
1,RightFinger5Metacarpal,0.02311563,-0.0009566545,-0.013822,-1.3839E-06,5.295284E-07,-0.1736479,0.9848078
1,RightFinger5Proximal,0.06517386,-0.0009567738,-0.02913036,-4.172332E-07,7.7486E-07,5.960473E-08,1
1,RightFinger5Medial,0.0981791,-0.0009572506,-0.02913041,-3.874309E-07,7.7486E-07,2.98024E-08,1
1,RightFinger5Distal,0.1189251,-0.0009570122,-0.02913049,-2.235181E-07,7.59959E-07,-1.490106E-08,1
1,RightFinger5Tip,0.1400571,-0.0009566545,-0.02913067,-2.235181E-07,7.59959E-07,-1.490106E-08,1
2,RightFinger1Metacarpal,0.01930737,-0.0009565353,0.02587529,0.09904467,-0.3696427,0.239117,0.8923998
2,RightFinger1Proximal,0.05117106,-0.0009567738,0.04427146,-1.443696E-06,-0.3826817,-5.929373E-07,0.9238802
2,RightFinger1Distal,0.07909727,-0.0009567738,0.0442715,-1.473498E-06,-0.3826817,-3.843211E-07,0.9238802
2,RightFinger1Tip,0.1110003,-0.0009565353,0.04427176,9.702925E-07,-0.3826818,6.289579E-07,0.9238802
2,RightFinger2Metacarpal,0.02458119,-0.0009570122,0.01489792,-9.998465E-07,-1.081485E-07,0.08715618,0.9961947
2,RightFinger2Proximal,0.07497978,-0.0009571314,0.02378415,-4.172334E-07,9.536739E-07,5.960468E-08,1
2,RightFinger2Medial,0.1175172,-0.0009570122,0.02378406,-3.576287E-07,9.53674E-07,3.730349E-14,1
2,RightFinger2Distal,0.1436875,-0.0009571314,0.023784,-2.533206E-07,9.685753E-07,4.470354E-08,1
2,RightFinger2Tip,0.1693344,-0.000956893,0.02378383,-1.78815E-07,1.192093E-06,-5.96046E-08,1
