Frame,FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
168,RightFinger1Tip,0.005206585,0.03786016,0.1067577,-0.3116695,-0.5291572,0.08800679,0.7842903
168,RightFinger2Tip,0.01222253,0.02174973,0.1159998,0.8826195,0.001471561,0.07232427,-0.4644907
168,RightFinger3Tip,0.02287209,0.006693244,0.1044122,0.9485508,-0.02799837,0.07291424,-0.3068429
168,RightFinger4Tip,0.03430164,0.005730867,0.1037329,0.9211875,-0.0278694,0.02112357,-0.3875467
168,RightFinger5Tip,0.05532146,0.01721609,0.1037177,0.707475,-0.0315544,0.018535,-0.7057916
169,RightFinger1Tip,0.005178332,0.03829741,0.1066166,-0.3114482,-0.529028,0.08802044,0.7844632
169,RightFinger2Tip,0.01232231,0.02215159,0.115909,0.8824812,0.001370865,0.0727099,-0.4646921
169,RightFinger3Tip,0.0229516,0.007108808,0.1043342,0.9486465,-0.02801379,0.07293096,-0.3065397
169,RightFinger4Tip,0.03437138,0.006171584,0.1036888,0.9211132,-0.02781053,0.02101924,-0.3877319
169,RightFinger5Tip,0.05539095,0.01776528,0.103609,0.7071773,-0.03155809,0.01858826,-0.7060878
170,RightFinger1Tip,0.004999161,0.04044569,0.1058994,-0.3103615,-0.5283934,0.08816291,0.7853054
170,RightFinger2Tip,0.01287866,0.0241431,0.1154049,0.8818225,0.0005283918,0.07528786,-0.4655336
170,RightFinger3Tip,0.02334988,0.009283423,0.104004,0.9489203,-0.0279817,0.07273132,-0.3057425
170,RightFinger4Tip,0.03479838,0.008432627,0.10347,0.9205669,-0.02776071,0.02100787,-0.3890311
170,RightFinger5Tip,0.05579054,0.02077162,0.1030778,0.7046177,-0.03137182,0.01845159,-0.708654
171,RightFinger1Tip,0.004693508,0.04278278,0.105062,-0.3093756,-0.527822,0.08855712,0.7860336
171,RightFinger2Tip,0.01359093,0.0267204,0.1148968,0.8802253,-0.0008746887,0.07856514,-0.4680076
171,RightFinger3Tip,0.02375388,0.01184607,0.1036543,0.9490374,-0.02801597,0.0724853,-0.305434
171,RightFinger4Tip,0.0354414,0.01109171,0.1031952,0.9197263,-0.02849981,0.02260763,-0.3908724
171,RightFinger5Tip,0.05625701,0.02446604,0.1024628,0.7004097,-0.03097189,0.01819718,-0.712837
172,RightFinger1Tip,0.004288197,0.04508281,0.1041197,-0.309065,-0.5278378,0.08842155,0.7861611
172,RightFinger2Tip,0.01400828,0.02943885,0.1143325,0.8786836,-0.00197578,0.08127292,-0.4704333
172,RightFinger3Tip,0.02399647,0.01445174,0.1032301,0.9491415,-0.02836225,0.07283439,-0.3049965
172,RightFinger4Tip,0.03598666,0.01389945,0.1028857,0.9188406,-0.02961782,0.02497209,-0.3927247
172,RightFinger5Tip,0.05667281,0.02828586,0.1018057,0.6953377,-0.03069223,0.01932244,-0.7177687
173,RightFinger1Tip,0.003818631,0.04790246,0.1028831,-0.3091566,-0.5279463,0.0893758,0.7859438
173,RightFinger2Tip,0.01448953,0.03294122,0.1135009,0.8768337,-0.002888712,0.08382493,-0.4734225
173,RightFinger3Tip,0.02440822,0.01765358,0.1025352,0.9492497,-0.02916034,0.07411399,-0.3042736
173,RightFinger4Tip,0.03665864,0.01744068,0.1023462,0.9176983,-0.03087355,0.0276836,-0.395109
173,RightFinger5Tip,0.05726302,0.0328846,0.1007402,0.6891071,-0.03058774,0.02192661,-0.7236823
174,RightFinger1Tip,0.002971292,0.05081093,0.1015788,-0.308902,-0.5274962,0.09159898,0.7860903
174,RightFinger2Tip,0.01442623,0.03650522,0.1126422,0.8750959,-0.002826067,0.08456472,-0.4764974
174,RightFinger3Tip,0.0245235,0.02090764,0.1019047,0.9489806,-0.02949113,0.07503178,-0.3048568
174,RightFinger4Tip,0.03672338,0.02112734,0.1018977,0.9162385,-0.03064801,0.02756052,-0.3985094
174,RightFinger5Tip,0.0571301,0.03743303,0.09969342,0.683001,-0.03039742,0.02195627,-0.7294554
175,RightFinger1Tip,-0.0013026,0.05943596,0.09715846,-0.3067462,-0.5252045,0.09846105,0.7876381
175,RightFinger2Tip,0.01235878,0.04906428,0.1100929,0.8651421,-0.002505256,0.08284728,-0.4946317
175,RightFinger3Tip,0.02404702,0.03205967,0.1009004,0.9425313,-0.03203132,0.08023763,-0.3227572
175,RightFinger4Tip,0.03586757,0.03352273,0.1011024,0.9062772,-0.03029792,0.02892223,-0.4206051
175,RightFinger5Tip,0.05595195,0.05189025,0.09627703,0.6575032,-0.02925623,0.02664307,-0.7524129
176,RightFinger1Tip,-0.003493786,0.06266832,0.09522924,-0.3050668,-0.5242419,0.1009807,0.7886123
176,RightFinger2Tip,0.01115263,0.05442786,0.108841,0.8598198,-0.002876898,0.08189043,-0.5039809
176,RightFinger3Tip,0.02389157,0.03708947,0.1009457,0.9364079,-0.03328825,0.08340014,-0.3392315
176,RightFinger4Tip,0.03569376,0.03895223,0.1008828,0.8989756,-0.0312973,0.03254087,-0.4356673
176,RightFinger5Tip,0.05533063,0.05801785,0.09464785,0.6420535,-0.02837496,0.02915413,-0.7655808
177,RightFinger1Tip,-0.006447911,0.06635499,0.09283298,-0.3023776,-0.5226042,0.1047821,0.7902372
177,RightFinger2Tip,0.009659171,0.06068146,0.1072125,0.851676,-0.003507347,0.08210446,-0.5175869
177,RightFinger3Tip,0.02330804,0.04332781,0.1011576,0.9272549,-0.03296358,0.08506628,-0.3631481
177,RightFinger4Tip,0.03513098,0.04523194,0.1004748,0.8896558,-0.03220106,0.03652831,-0.4540299
177,RightFinger5Tip,0.0544858,0.06517148,0.0923782,0.6231709,-0.02721694,0.0332538,-0.7809052
178,RightFinger1Tip,-0.009426355,0.06967366,0.09037685,-0.2995547,-0.5211079,0.1076554,0.7919121
178,RightFinger2Tip,0.007811666,0.06658268,0.1055698,0.8425893,-0.00335764,0.08116386,-0.5323961
178,RightFinger3Tip,0.02227676,0.04948723,0.101593,0.915868,-0.03051971,0.08443157,-0.3913142
