Frame, FingerName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW
9, RightFinger2Metacarpal, -0,003296256, 0,02046204, 0,01993814, 1,087385E-06, 4,70526E-07, -0,08715703, -0,9961947
9, RightFinger3Metacarpal, 0,005857706, 0,0167383, 0,01931885, -9,13359E-07, -1,917586E-07, 1,624109E-07, 1
9, RightFinger4Metacarpal, 0,01472962, 0,01207554, 0,0177075, -6,779433E-07, -1,522655E-07, -0,08715408, 0,9961951
9, RightFinger5Metacarpal, 0,02147317, 0,006783247, 0,01480475, -1,022003E-06, 4,059567E-07, -0,1736465, 0,9848083
10, RightFinger1Metacarpal, -0,01504385, 0,02199578, 0,01825061, -0,2627316, -0,4566759, 0,2811478, 0,8021072
10, RightFinger2Metacarpal, -0,003140211, 0,02026987, 0,02015847, 1,1851E-06, 5,797061E-07, -0,08715715, -0,996195
10, RightFinger3Metacarpal, 0,006030083, 0,01661992, 0,01936781, -8,092831E-07, -1,876372E-07, 1,519421E-07, 1,000001
10, RightFinger4Metacarpal, 0,01491022, 0,01203728, 0,01758185, -7,727361E-07, -1,53841E-07, -0,08715402, 0,9961954
10, RightFinger5Metacarpal, 0,02164721, 0,006819963, 0,01453179, -1,182033E-06, 4,142738E-07, -0,1736467, 0,9848086
11, RightFinger1Metacarpal, -0,01498723, 0,0217967, 0,01853392, -0,2621896, -0,4564999, 0,2806579, 0,8025566
11, RightFinger2Metacarpal, -0,003061295, 0,02010751, 0,02033237, 1,10815E-06, 5,104732E-07, -0,0871571, -0,9961954
11, RightFinger3Metacarpal, 0,006117463, 0,01650262, 0,01944062, -8,252891E-07, -1,324221E-07, 3,697574E-08, 1,000001
11, RightFinger4Metacarpal, 0,01500213, 0,01197124, 0,01754886, -7,265503E-07, -1,166906E-07, -0,08715431, 0,9961956
11, RightFinger5Metacarpal, 0,02173603, 0,006805301, 0,01440588, -1,243169E-06, 2,958392E-07, -0,1736468, 0,9848087
12, RightFinger1Metacarpal, -0,01497078, 0,02162921, 0,01874229, -0,2627619, -0,4567399, 0,2798617, 0,8025109
12, RightFinger2Metacarpal, -0,003036141, 0,01994967, 0,020491, 1,236774E-06, 5,239905E-07, -0,08715715, -0,9961952
12, RightFinger3Metacarpal, 0,006146669, 0,01636922, 0,01954395, -8,363656E-07, -1,543368E-07, 1,58146E-07, 1,000001
12, RightFinger4Metacarpal, 0,01503396, 0,01186907, 0,01759094, -7,998147E-07, -1,583986E-07, -0,08715398, 0,9961956
12, RightFinger5Metacarpal, 0,02176774, 0,006739616, 0,01438856, -1,21924E-06, 4,225478E-07, -0,1736467, 0,9848087
13, RightFinger1Metacarpal, -0,01493764, 0,02153325, 0,01887867, -0,2644068, -0,4573604, 0,2792393, 0,8018338
13, RightFinger2Metacarpal, -0,003004551, 0,01982772, 0,02061367, 1,067147E-06, 5,58296E-07, -0,08715732, -0,9961952
13, RightFinger3Metacarpal, 0,006173372, 0,01624155, 0,01964191, -8,542387E-07, -1,56998E-07, 1,259664E-07, 1,000001
13, RightFinger4Metacarpal, 0,01505435, 0,011742, 0,01765877, -6,860569E-07, -2,486966E-07, -0,08715409, 0,9961954
13, RightFinger5Metacarpal, 0,02178061, 0,006623745, 0,01442304, -1,092512E-06, 3,055153E-07, -0,1736466, 0,9848087
14, RightFinger1Metacarpal, -0,01486158, 0,02153313, 0,01893872, -0,2656978, -0,4578466, 0,2787457, 0,8013009
14, RightFinger2Metacarpal, -0,002938151, 0,0197686, 0,02067989, 9,76618E-07, 5,820438E-07, -0,08715734, -0,9961949
14, RightFinger3Metacarpal, 0,006224871, 0,01614499, 0,019705, -7,870228E-07, -1,478637E-07, 2,028973E-07, 1
14, RightFinger4Metacarpal, 0,01508784, 0,01161313, 0,01771522, -5,39237E-07, -1,220699E-07, -0,08715411, 0,9961953
