Frame,FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
168,RightFinger1Metacarpal,-0.02149045,0.02244329,0.0088135,-0.2544342,-0.4530638,0.2946185,0.8019961
168,RightFinger1Proximal,-0.02534211,0.0394069,0.04123431,0.2930486,0.5120459,-0.1383216,-0.7954877
168,RightFinger1Distal,-0.01891398,0.05358171,0.06442109,-0.2994021,-0.52102,0.1078543,0.7920011
168,RightFinger1Tip,-0.009606004,0.06984913,0.09023866,-0.2994001,-0.5210198,0.1078557,0.7920019
168,RightFinger2Metacarpal,-0.009679556,0.02519345,0.009934187,1.196538E-06,5.657595E-07,-0.08715717,-0.9961953
168,RightFinger2Proximal,-0.008286357,0.07334685,0.02720565,0.339316,0.04698664,0.06613698,-0.9371681
168,RightFinger2Medial,0.004407048,0.09286761,0.06280425,-0.6749927,-0.01779288,-0.07915375,0.7333516
168,RightFinger2Distal,0.008121848,0.08528686,0.08757535,0.8420101,-0.003331412,0.08105979,-0.5333278
168,RightFinger2Tip,0.007690549,0.06692469,0.1054755,0.8420101,-0.003331439,0.08106011,-0.5333279
168,RightFinger3Metacarpal,0.0001838207,0.02434635,0.009742796,-9.072973E-07,-2.429057E-07,1.775626E-07,1.000001
168,RightFinger3Proximal,0.01017261,0.07028413,0.02631852,0.3625975,0.03876384,0.08086267,-0.9276223
168,RightFinger3Medial,0.02381587,0.08810759,0.06377783,-0.7467936,0.002521834,-0.08963849,0.6589838
168,RightFinger3Distal,0.02598,0.07441735,0.08902708,0.9150289,-0.03034321,0.08438339,-0.3932967
168,RightFinger3Tip,0.02221453,0.04986465,0.1016377,0.9150286,-0.03034312,0.08438332,-0.393297
168,RightFinger4Metacarpal,0.0100807,0.02218652,0.009081721,-8.078275E-07,-1.410675E-07,-0.08715416,0.9961953
168,RightFinger4Proximal,0.02762198,0.06391788,0.02423602,0.3658009,-0.0002057309,0.04808432,-0.9294509
168,RightFinger4Medial,0.03683817,0.08121824,0.06000626,-0.7107363,0.01965188,-0.04388515,0.7018145
168,RightFinger4Distal,0.03734887,0.07183754,0.08457726,0.8762664,-0.03095659,0.03679239,-0.4794233
168,RightFinger4Tip,0.03387833,0.05194533,0.1003317,0.8762663,-0.03095659,0.03679245,-0.4794235
168,RightFinger5Metacarpal,0.01816249,0.0183233,0.007789433,-1.095647E-06,3.219471E-07,-0.1736466,0.9848087
168,RightFinger5Proximal,0.041587,0.05414057,0.02089155,0.3258184,-0.01379641,0.04089499,-0.9444476
168,RightFinger5Medial,0.0487628,0.07069969,0.04852557,-0.497571,0.02123773,-0.03757143,0.8663495
168,RightFinger5Distal,0.05155098,0.07407808,0.06880385,0.6016075,-0.02575112,0.03463262,-0.7976264
168,RightFinger5Tip,0.05299449,0.07245696,0.08982414,0.6016075,-0.02575112,0.03463262,-0.7976264
169,RightFinger1Metacarpal,-0.02156496,0.02242231,0.008684129,-0.2540598,-0.452912,0.2949329,0.8020847
169,RightFinger1Proximal,-0.02554357,0.0395304,0.04101351,0.2926686,0.5118275,-0.138825,-0.7956799
169,RightFinger1Distal,-0.01922381,0.05383778,0.0641486,-0.299028,-0.5207983,0.1083783,0.7922165
169,RightFinger1Tip,-0.01003897,0.07025993,0.08991227,-0.2990259,-0.5207981,0.1083796,0.7922172
169,RightFinger2Metacarpal,-0.00976336,0.02521026,0.009808779,1.118529E-06,5.21196E-07,-0.08715712,-0.996195
169,RightFinger2Proximal,-0.008527875,0.07344365,0.02686805,0.3378507,0.04680361,0.06591789,-0.9377217
169,RightFinger2Medial,0.004055142,0.09327555,0.06233361,-0.6734149,-0.01775589,-0.07887035,0.7348316
169,RightFinger2Distal,0.007771611,0.08592427,0.08717346,0.8406806,-0.003265058,0.08077773,-0.5354638
169,RightFinger2Tip,0.007393241,0.06772935,0.1052449,0.8406806,-0.003265105,0.08077792,-0.5354638
169,RightFinger3Metacarpal,0.0001026392,0.02438974,0.009634793,-8.017219E-07,-1.562487E-07,1.755158E-07,1
169,RightFinger3Proximal,0.009940743,0.07042837,0.02601993,0.3615285,0.03866092,0.08066229,-0.9280609
169,RightFinger3Medial,0.02347755,0.08854842,0.06337535,-0.7445569,0.002320513,-0.08941872,0.66154
169,RightFinger3Distal,0.02569628,0.0751456,0.0887737,0.9130999,-0.02995574,0.08428284,-0.397805
169,RightFinger3Tip,0.02205956,0.05075133,0.1017251,0.9130997,-0.02995575,0.08428276,-0.3978053
169,RightFinger4Metacarpal,0.01000631,0.02225471,0.008996844,-7.264908E-07,-1.521406E-07,-0.08715411,0.9961951
169,RightFinger4Proximal,0.02741063,0.06410158,0.02398968,0.3648007,-0.0002104294,0.04793566,-0.9298514
169,RightFinger4Medial,0.03653204,0.08166528,0.05965564,-0.7085965,0.01950962,-0.04378585,0.7039844
169,RightFinger4Distal,0.03707516,0.07254112,0.08432224,0.8741634,-0.03074379,0.03677707,-0.4832612
169,RightFinger4Tip,0.03369319,0.05283999,0.100334,0.8741636,-0.03074382,0.036777,-0.4832613
169,RightFinger5Metacarpal,0.01810062,0.0184083,0.007732868,-1.053874E-06,3.660401E-07,-0.1736467,0.9848085
169,RightFinger5Proximal,0.04140723,0.05434847,0.02070785,0.3241343,-0.01362467,0.04101819,-0.9450237
169,RightFinger5Medial,0.04852796,0.07114434,0.04821301,-0.4949438,0.02104519,-0.0377511,0.8678499
169,RightFinger5Distal,0.05131543,0.07473826,0.06845433,0.5985983,-0.02555694,0.03485373,-0.7998833
169,RightFinger5Tip,0.05278349,0.07336605,0.08949056,0.5985983,-0.02555694,0.03485373,-0.7998833
170,RightFinger1Metacarpal,-0.02315807,0.02168536,0.006055087,-0.2489914,-0.4507446,0.3013577,0.8025066
170,RightFinger1Proximal,-0.02991116,0.04118371,0.03651685,0.2841374,0.5040285,-0.1626504,-0.7992288
170,RightFinger1Distal,-0.02676094,0.05774546,0.05878013,-0.2895163,-0.5114515,0.1381343,0.7971936
170,RightFinger1Tip,-0.02155006,0.07684243,0.08379957,-0.2895141,-0.5114512,0.1381357,0.7971942
170,RightFinger2Metacarpal,-0.01159132,0.02528703,0.007300377,1.020935E-06,6.04812E-07,-0.08715714,-0.9961948
170,RightFinger2Proximal,-0.01383948,0.07476413,0.02018327,0.2795096,0.03696279,0.04867201,-0.9581961
170,RightFinger2Medial,-0.004963279,0.1026018,0.05109796,-0.6158573,-0.01620823,-0.0589284,0.785484
170,RightFinger2Distal,-0.001885056,0.1017009,0.07707086,0.7923402,0.0009957071,0.06110821,-0.6070113
170,RightFinger2Tip,-0.001461506,0.08873761,0.09919649,0.7923403,0.0009956737,0.06110839,-0.6070113
170,RightFinger3Metacarpal,-0.001694083,0.02507055,0.007502615,-7.966294E-07,-1.939441E-07,1.468415E-07,1
170,RightFinger3Proximal,0.00479424,0.07284391,0.0201686,0.3133434,0.04093263,0.09465889,-0.9440237
170,RightFinger3Medial,0.0174607,0.09809649,0.05346847,-0.6825686,0.002851954,-0.1030904,0.7235089
170,RightFinger3Distal,0.02106369,0.09163761,0.08130613,0.8611553,-0.03225015,0.09795677,-0.4977715
170,RightFinger3Tip,0.01979232,0.07198441,0.1010082,0.8611552,-0.03225017,0.0979569,-0.4977718
170,RightFinger4Metacarpal,0.008335471,0.02351022,0.007356942,-6.814027E-07,-1.225299E-07,-0.08715411,0.9961951
170,RightFinger4Proximal,0.02267098,0.06746888,0.01923048,0.3161215,0.003312975,0.05318968,-0.947221
170,RightFinger4Medial,0.03042924,0.09179521,0.0510391,-0.6485352,0.01689205,-0.05054447,0.759317
170,RightFinger4Distal,0.03172863,0.08891344,0.07715422,0.8200755,-0.02917108,0.04459853,-0.5697691
170,RightFinger4Tip,0.03003323,0.074265,0.09809458,0.8200754,-0.02917102,0.04459858,-0.5697692
170,RightFinger5Metacarpal,0.01668429,0.02008271,0.006678879,-1.012311E-06,3.308079E-07,-0.1736465,0.9848083
170,RightFinger5Proximal,0.03733158,0.05836523,0.01723289,0.2711876,0.00125383,0.07649282,-0.9594818
170,RightFinger5Medial,0.04533482,0.07998633,0.04085085,-0.4286085,0.01162049,-0.0756149,0.900246
170,RightFinger5Distal,0.04920065,0.08793092,0.05962145,0.525475,-0.01990495,0.07386653,-0.8473631
170,RightFinger5Tip,0.05210817,0.09171057,0.08020839,0.525475,-0.01990495,0.07386653,-0.8473631
171,RightFinger1Metacarpal,-0.02422225,0.02094042,0.004242092,-0.2374391,-0.4460038,0.3103816,0.8052131
171,RightFinger1Proximal,-0.03356159,0.04210782,0.0328503,0.2690991,0.4925743,-0.190461,-0.8054082
171,RightFinger1Distal,-0.03355801,0.06018138,0.05413914,-0.2736412,-0.4984937,0.1711512,0.8045707
171,RightFinger1Tip,-0.03227651,0.08106446,0.07822368,-0.273639,-0.4984934,0.1711525,0.8045714
171,RightFinger2Metacarpal,-0.01285672,0.02513134,0.005496234,1.036554E-06,6.022582E-07,-0.08715713,-0.9961954
171,RightFinger2Proximal,-0.01757395,0.07514477,0.0152635,0.2341391,0.03105466,0.04107697,-0.9708392
171,RightFinger2Medial,-0.01118195,0.1079063,0.0416314,-0.5669059,-0.01424829,-0.04948487,0.8221725
171,RightFinger2Distal,-0.008767366,0.1119448,0.06737506,0.7478544,0.001941163,0.05145815,-0.6618642
171,RightFinger2Tip,-0.008134365,0.1037363,0.09166476,0.7478541,0.0019411,0.05145831,-0.6618643
171,RightFinger3Metacarpal,-0.002966762,0.02537632,0.005910635,-8.068531E-07,-2.228436E-07,1.480257E-07,1.000001
171,RightFinger3Proximal,0.00112164,0.07407379,0.01574224,0.2588422,0.04167462,0.1043991,-0.9593573
171,RightFinger3Medial,0.01302278,0.1050889,0.04408732,-0.6232901,0.003898716,-0.112342,0.7738703
171,RightFinger3Distal,0.01732969,0.104809,0.07256538,0.8108141,-0.03440674,0.1070137,-0.5744097
171,RightFinger3Tip,0.01747251,0.09035802,0.09638116,0.8108139,-0.03440665,0.1070137,-0.57441
171,RightFinger4Metacarpal,0.007122517,0.024266,0.006063312,-7.403316E-07,-1.744122E-07,-0.08715424,0.9961954
171,RightFinger4Proximal,0.0192343,0.06946743,0.01549673,0.2608583,0.009237831,0.06557078,-0.9631044
171,RightFinger4Medial,0.02668059,0.09909773,0.04252183,-0.5822166,0.01435661,-0.06464294,0.8103334
171,RightFinger4Distal,0.0287621,0.1021105,0.06857148,0.7575809,-0.02925816,0.05940249,-0.6493754
171,RightFinger4Tip,0.02835667,0.09323406,0.09259209,0.7575808,-0.02925814,0.05940254,-0.6493754
171,RightFinger5Metacarpal,0.01562738,0.02118576,0.005765617,-1.023184E-06,3.438079E-07,-0.1736466,0.9848088
171,RightFinger5Proximal,0.03432322,0.06093335,0.01435861,0.2020203,0.01860159,0.1158725,-0.9723256
171,RightFinger5Medial,0.04392529,0.08650756,0.03288159,-0.3479032,-0.0007189472,-0.1173535,0.9301574
171,RightFinger5Distal,0.04920244,0.0982976,0.04911545,0.439539,-0.01106662,0.1168318,-0.890525
171,RightFinger5Tip,0.05379152,0.1068012,0.06790888,0.439539,-0.01106662,0.1168318,-0.890525
172,RightFinger1Metacarpal,-0.02489436,0.02036941,0.00292784,-0.2385932,-0.4464863,0.3093878,0.804987
172,RightFinger1Proximal,-0.0352,0.04250979,0.03044707,0.2697272,0.4924064,-0.1913163,-0.8050979
