Frame,FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0,RightFinger1Metacarpal,2.0950,1.3153,0.0726,0.5610,-0.7011,0.4305,0.0923
0,RightFinger1Proximal,2.1269,1.3153,0.0910,0.6533,-0.6533,0.2706,0.2706
0,RightFinger1Distal,2.1548,1.3153,0.0910,0.6533,-0.6533,0.2706,0.2706
0,RightFinger1Tip,2.1867,1.3153,0.0910,0.6533,-0.6533,0.2706,0.2706
0,RightFinger2Metacarpal,2.1003,1.3153,0.0616,0.4545,-0.5417,0.5417,0.4545
0,RightFinger2Proximal,2.1507,1.3153,0.0705,0.5000,-0.5000,0.5000,0.5000
0,RightFinger2Medial,2.1932,1.3153,0.0705,0.5000,-0.5000,0.5000,0.5000
0,RightFinger2Distal,2.2194,1.3153,0.0705,0.5000,-0.5000,0.5000,0.5000
0,RightFinger2Tip,2.2450,1.3153,0.0705,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Metacarpal,2.1014,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Proximal,2.1512,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Medial,2.1949,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Distal,2.2237,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Tip,2.2516,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger4Metacarpal,2.1012,1.3153,0.0416,0.5417,-0.4545,0.4545,0.5417
0,RightFinger4Proximal,2.1482,1.3153,0.0333,0.5000,-0.5000,0.5000,0.5000
0,RightFinger4Medial,2.1890,1.3153,0.0333,0.5000,-0.5000,0.5000,0.5000
0,RightFinger4Distal,2.2153,1.3153,0.0333,0.5000,-0.5000,0.5000,0.5000
0,RightFinger4Tip,2.2409,1.3153,0.0333,0.5000,-0.5000,0.5000,0.5000
0,RightFinger5Metacarpal,2.0988,1.3153,0.0329,0.5792,-0.4056,0.4056,0.5792
0,RightFinger5Proximal,2.1409,1.3153,0.0176,0.5000,-0.5000,0.5000,0.5000
0,RightFinger5Medial,2.1739,1.3153,0.0176,0.5000,-0.5000,0.5000,0.5000
0,RightFinger5Distal,2.1946,1.3153,0.0176,0.5000,-0.5000,0.5000,0.5000
0,RightFinger5Tip,2.2157,1.3153,0.0176,0.5000,-0.5000,0.5000,0.5000
10,RightFinger1Metacarpal,1.6900,1.2576,0.1831,0.2495,-0.2656,0.8313,-0.4197
10,RightFinger1Proximal,1.6692,1.2762,0.2071,-0.2933,0.3034,-0.8381,0.3456
10,RightFinger1Distal,1.6580,1.2924,0.2269,0.3091,-0.3175,0.8390,-0.3158
10,RightFinger1Tip,1.6474,1.3115,0.2502,0.3091,-0.3175,0.8390,-0.3158
10,RightFinger2Metacarpal,1.6990,1.2629,0.1893,0.2786,0.0159,-0.9552,0.0984
10,RightFinger2Proximal,1.6890,1.3131,0.1881,0.2171,0.2809,-0.9348,-0.0081
10,RightFinger2Medial,1.6844,1.3489,0.2106,-0.2026,-0.6273,0.7479,-0.0783
10,RightFinger2Distal,1.6747,1.3542,0.2343,0.1746,0.8031,-0.5549,0.1292
10,RightFinger2Tip,1.6638,1.3459,0.2560,0.1746,0.8031,-0.5549,0.1292
10,RightFinger3Metacarpal,1.7073,1.2641,0.1946,-0.2762,-0.0401,0.9602,-0.0148
10,RightFinger3Proximal,1.7048,1.3138,0.1981,0.2206,0.3264,-0.9191,0.0069
10,RightFinger3Medial,1.6979,1.3482,0.2241,-0.1855,-0.7531,0.6198,-0.1195
10,RightFinger3Distal,1.6856,1.3435,0.2497,0.1313,0.9235,-0.3137,0.1774
10,RightFinger3Tip,1.6758,1.3220,0.2646,0.1313,0.9235,-0.3137,0.1774
10,RightFinger4Metacarpal,1.7159,1.2640,0.2000,-0.2716,-0.0640,0.9578,0.0690
10,RightFinger4Proximal,1.7206,1.3109,0.2076,0.2638,0.3846,-0.8783,0.1056
10,RightFinger4Medial,1.7047,1.3387,0.2329,-0.2126,-0.6587,0.6967,-0.1885
10,RightFinger4Distal,1.6904,1.3403,0.2550,0.1642,0.7997,-0.5289,0.2319
10,RightFinger4Tip,1.6774,1.3304,0.2747,0.1642,0.7997,-0.5289,0.2319
10,RightFinger5Metacarpal,1.7234,1.2617,0.2045,-0.2650,-0.0874,0.9481,0.1522
10,RightFinger5Proximal,1.7343,1.3037,0.2155,0.3107,0.3978,-0.8327,0.2275
10,RightFinger5Medial,1.7136,1.3228,0.2327,-0.2904,-0.4667,0.7962,-0.2529
10,RightFinger5Distal,1.6996,1.3318,0.2451,0.2758,0.5104,-0.7688,0.2688
10,RightFinger5Tip,1.6849,1.3389,0.2585,0.2758,0.5104,-0.7688,0.2688
20,RightFinger1Metacarpal,1.6900,1.2578,0.1829,0.2510,-0.2676,0.8308,-0.4185
