Frame,FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
1190,RightFinger4Metacarpal,1.5492,1.3090,0.2481,-0.1128,0.0346,0.9929,0.0128
1190,RightFinger4Proximal,1.5508,1.3566,0.2449,0.0622,0.7123,-0.6707,0.1970
1190,RightFinger4Medial,1.5364,1.3529,0.2829,0.0918,-0.9784,-0.0109,-0.1851
1190,RightFinger4Distal,1.5412,1.3270,0.2833,-0.1713,0.8450,0.4932,0.1155
1190,RightFinger4Tip,1.5515,1.3154,0.2629,-0.1713,0.8450,0.4932,0.1155
1190,RightFinger5Metacarpal,1.5579,1.3080,0.2502,-0.1153,0.0246,0.9880,0.0993
1190,RightFinger5Proximal,1.5670,1.3519,0.2490,0.1066,0.6709,-0.6930,0.2414
1190,RightFinger5Medial,1.5512,1.3513,0.2780,0.0772,-0.9607,0.0855,-0.2524
1190,RightFinger5Distal,1.5534,1.3311,0.2822,-0.1839,0.8939,0.3623,0.1893
1190,RightFinger5Tip,1.5632,1.3170,0.2700,-0.1839,0.8939,0.3623,0.1893
1200,RightFinger1Metacarpal,1.5197,1.2985,0.2419,0.4162,-0.1986,0.8100,-0.3623
1200,RightFinger1Proximal,1.5042,1.3228,0.2648,-0.4601,0.2308,-0.8185,0.2553
1200,RightFinger1Distal,1.4984,1.3441,0.2820,0.4586,-0.2303,0.8189,-0.2570
1200,RightFinger1Tip,1.4917,1.3684,0.3015,0.4586,-0.2303,0.8189,-0.2570
1200,RightFinger2Metacarpal,1.5295,1.3055,0.2437,0.1072,-0.0550,-0.9795,0.1614
1200,RightFinger2Proximal,1.5139,1.3537,0.2364,-0.0221,0.5494,-0.8342,0.0416
1200,RightFinger2Medial,1.5120,1.3704,0.2755,0.0460,-0.9916,0.1204,-0.0101
1200,RightFinger2Distal,1.5143,1.3451,0.2818,-0.0439,0.8919,0.4498,-0.0171
1200,RightFinger2Tip,1.5159,1.3299,0.2611,-0.0439,0.8919,0.4498,-0.0171
1200,RightFinger3Metacarpal,1.5388,1.3081,0.2457,-0.1116,0.0455,0.9898,-0.0754
1200,RightFinger3Proximal,1.5319,1.3572,0.2404,-0.0057,0.6609,-0.7420,0.1121
1200,RightFinger3Medial,1.5250,1.3616,0.2832,0.0913,-0.9922,-0.0548,-0.0653
1200,RightFinger3Distal,1.5304,1.3335,0.2805,-0.1122,0.7829,0.6119,0.0015
