SensorName,FrameIndex,Theta,Phi
Hips,1,0,0
HeadTip,156,-1,104204,-0,1381947
RightShoulder,156,0,1277536,-0,02718733
RightArm,156,-0,7060779,-1,382671
RightForeArm,156,-0,6612725,-1,322526
RightHand,156,-0,7241504,-1,42773
RightFinger1Metacarpal,156,-1,301869,-0,3792329
RightFinger1Proximal,156,1,771495,-0,4284687
RightFinger1Distal,156,-1,37965,-0,4208177
RightFinger1Tip,156,-1,37965,-0,4208173
RightFinger2Metacarpal,156,2,409365,-1,301005
RightFinger2Proximal,156,2,343431,-1,471013
RightFinger2Medial,156,-0,8605084,-1,471014
RightFinger2Distal,156,1,947078,-1,471016
RightFinger2Tip,156,1,947078,-1,471015
RightFinger3Metacarpal,156,-0,7241505,-1,427731
RightFinger3Proximal,156,2,353323,-1,487762
RightFinger3Medial,156,-0,8735847,-1,487765
RightFinger3Distal,156,-0,5117325,-1,48776
RightFinger3Tip,156,-0,5117319,-1,487763
RightFinger4Metacarpal,156,-0,716135,-1,401276
RightFinger4Proximal,156,2,417578,-1,380912
RightFinger4Medial,156,-0,8321466,-1,380914
RightFinger4Distal,156,-0,5016218,-1,380909
RightFinger4Tip,156,-0,5016215,-1,38091
RightFinger5Metacarpal,156,-0,7080583,-1,2584
RightFinger5Proximal,156,2,425537,-1,444245
RightFinger5Medial,156,-0,6973208,-1,444248
RightFinger5Distal,156,2,499351,-1,444247
RightFinger5Tip,156,2,499351,-1,444247
Hips,417,0,0
LeftThigh,417,0,7351547,1,303242
LeftShin,417,0,655109,1,215646
LeftFoot,417,-1,641682,0,3101275
LeftToe,417,-1,642628,0,3101276
LeftToeTip,417,-1,642628,0,3101276
RightThigh,417,-0,7361926,-1,443162
RightShin,417,-0,7300108,-1,19851
RightFoot,417,-1,48012,-0,1283409
RightToe,417,-1,465889,-0,1283411
RightToeTip,417,-1,465889,-0,1283411
Spine1,417,-1,140637,0,00438973
Spine2,417,-1,14064,0,008272282
Spine3,417,-1,140641,0,01165004
Spine4,417,-1,140641,0,01165004
LeftShoulder,417,-0,1219002,0,09678426
LeftArm,417,0,7832344,1,452271
LeftForeArm,417,0,7038727,1,40676
LeftHand,417,0,652131,1,237902
LeftFinger1Metacarpal,417,1,270909,0,4020616
LeftFinger1Proximal,417,1,366032,0,4455994
LeftFinger1Distal,417,1,391159,0,3783357
LeftFinger1Tip,417,1,391159,0,378336
LeftFinger2Metacarpal,417,-2,480264,1,123712
LeftFinger2Proximal,417,0,7314625,1,417174
LeftFinger2Medial,417,0,7422203,1,41717
LeftFinger2Distal,417,0,7506418,1,417172
LeftFinger2Tip,417,0,75064,1,417174
LeftFinger3Metacarpal,417,0,6521311,1,237902
LeftFinger3Proximal,417,0,7180372,1,432129
LeftFinger3Medial,417,0,721145,1,432123
LeftFinger3Distal,417,0,7238767,1,432127
LeftFinger3Tip,417,0,7238768,1,432127
LeftFinger4Metacarpal,417,0,6431188,1,286184
LeftFinger4Proximal,417,0,7091199,1,409295
LeftFinger4Medial,417,0,6941251,1,409297
LeftFinger4Distal,417,0,6815268,1,409297
LeftFinger4Tip,417,0,6815269,1,409297
LeftFinger5Metacarpal,417,0,6341548,1,23845
LeftFinger5Proximal,417,-2,430311,1,328189
LeftFinger5Medial,417,0,6868389,1,328188
LeftFinger5Distal,417,-2,473169,1,328186
LeftFinger5Tip,417,-2,473169,1,328186
Neck,417,-1,429683,0,03006126
Head,417,-1,52737,0,04980703
HeadTip,417,-1,52737,0,04980703
RightShoulder,417,0,04229558,-0,1023471
RightArm,417,-0,8344592,-1,367459
RightForeArm,417,-0,7671006,-1,489954
RightHand,417,-0,7346099,-1,458172
RightFinger1Metacarpal,417,-1,301932,-0,399459
RightFinger1Proximal,417,1,768517,-0,4320094
RightFinger1Distal,417,-1,382599,-0,4223244
RightFinger1Tip,417,-1,382599,-0,422324
RightFinger2Metacarpal,417,2,399614,-1,331568
RightFinger2Proximal,417,2,342187,-1,503944
RightFinger2Medial,417,-0,8437908,-1,503946
RightFinger2Distal,417,2,001802,-1,503944
RightFinger2Tip,417,2,001802,-1,50394
RightFinger3Metacarpal,417,-0,73461,-1,45817
RightFinger3Proximal,417,2,353967,-1,519027
RightFinger3Medial,417,-0,838004,-1,519032
RightFinger3Distal,417,-0,5772905,-1,519019
RightFinger3Tip,417,-0,5772893,-1,519014
RightFinger4Metacarpal,417,-0,7272796,-1,400978
RightFinger4Proximal,417,2,41448,-1,426775
RightFinger4Medial,417,-0,774682,-1,426778
RightFinger4Distal,417,-0,6120633,-1,426777
RightFinger4Tip,417,-0,6120634,-1,426777
RightFinger5Metacarpal,417,-0,7198744,-1,245697
RightFinger5Proximal,417,2,416963,-1,449387
RightFinger5Medial,417,-0,6783648,-1,44939
RightFinger5Distal,417,2,585411,-1,44939
RightFinger5Tip,417,2,585411,-1,44939
Hips,675,0,0
LeftThigh,675,0,7563255,1,396231
LeftShin,675,0,723867,1,254532
LeftFoot,675,-1,736704,0,1782956
LeftToe,675,-1,747386,0,1782951
LeftToeTip,675,-1,747386,0,1782951
RightThigh,675,-0,754838,-1,429628
RightShin,675,-0,6956695,-1,298113
RightFoot,675,-1,491364,-0,2366802
RightToe,675,-1,490984,-0,23668
RightToeTip,675,-1,490984,-0,23668
Spine1,675,-1,624135,-0,004063618
Spine2,675,-1,62414,-0,00807672
Spine3,675,-1,624141,-0,01204554
Spine4,675,-1,624141,-0,01204554
LeftShoulder,675,-0,08517811,0,08808504
LeftArm,675,0,8506163,1,385398
LeftForeArm,675,0,7656906,1,527816
LeftHand,675,0,6694373,1,264693
LeftFinger1Metacarpal,675,1,276294,0,3618669
LeftFinger1Proximal,675,1,40626,0,3951926
LeftFinger1Distal,675,1,440044,0,3287251
LeftFinger1Tip,675,1,440044,0,3287249
LeftFinger2Metacarpal,675,-2,470634,1,133431
LeftFinger2Proximal,675,0,7532536,1,460391
LeftFinger2Medial,675,0,7626295,1,460389
LeftFinger2Distal,675,0,7702659,1,46039
LeftFinger2Tip,675,0,770264,1,460387
LeftFinger3Metacarpal,675,0,6694374,1,264693
LeftFinger3Proximal,675,0,7411173,1,482144
LeftFinger3Medial,675,0,7411968,1,482145
LeftFinger3Distal,675,0,7412702,1,482146
LeftFinger3Tip,675,0,7412702,1,482146
LeftFinger4Metacarpal,675,0,6679419,1,334384
LeftFinger4Proximal,675,0,739024,1,446779
LeftFinger4Medial,675,0,7198694,1,446779
LeftFinger4Distal,675,0,7029143,1,446781
LeftFinger4Tip,675,0,7029144,1,446781
LeftFinger5Metacarpal,675,0,6664508,1,291737
LeftFinger5Proximal,675,-2,393401,1,342787
LeftFinger5Medial,675,0,7195194,1,342784
LeftFinger5Distal,675,-2,444745,1,342782
LeftFinger5Tip,675,-2,444746,1,342783
Neck,675,-1,959687,0,06929242
Head,675,-2,059526,0,1554111
HeadTip,675,-2,059526,0,1554111
RightShoulder,675,0,08736449,-0,09765988
RightArm,675,-0,7821499,-1,393377
RightForeArm,675,-0,7256011,-1,448458
RightHand,675,-0,7187629,-1,407707
RightFinger1Metacarpal,675,-1,298611,-0,3988869
RightFinger1Proximal,675,1,78189,-0,4467517
RightFinger1Distal,675,-1,367717,-0,4392543
RightFinger1Tip,675,-1,367717,-0,439254
RightFinger2Metacarpal,675,2,413057,-1,279837
RightFinger2Proximal,675,2,350403,-1,454619
RightFinger2Medial,675,-0,850317,-1,454619
RightFinger2Distal,675,2,107702,-1,454617
RightFinger2Tip,675,2,107703,-1,454616
RightFinger3Metacarpal,675,-0,7187631,-1,407707
RightFinger3Proximal,675,2,357686,-1,471961
RightFinger3Medial,675,-0,8552374,-1,47196
RightFinger3Distal,675,0,5180975,-1,471958
RightFinger3Tip,675,0,5181046,-1,471962
RightFinger4Metacarpal,675,-0,7090859,-1,400358
RightFinger4Proximal,675,2,411409,-1,398967
RightFinger4Medial,675,-0,8034198,-1,398966
RightFinger4Distal,675,-0,1370088,-1,398966
RightFinger4Tip,675,-0,1370085,-1,398966
RightFinger5Metacarpal,675,-0,6993559,-1,267464
RightFinger5Proximal,675,2,418835,-1,454093
RightFinger5Medial,675,-0,700236,-1,454092
RightFinger5Distal,675,2,484314,-1,454094
RightFinger5Tip,675,2,484314,-1,454094
Hips,996,0,0
LeftThigh,996,0,7656699,1,44751
LeftShin,996,0,7217841,1,259986
LeftFoot,996,-1,656699,0,1788476
LeftToe,996,-1,656744,0,1788477
LeftToeTip,996,-1,656744,0,1788477
RightThigh,996,-0,7316713,-1,390569
RightShin,996,-0,6384448,-1,160742
RightFoot,996,-1,483457,-0,3547559
RightToe,996,-1,485171,-0,354756
RightToeTip,996,-1,485171,-0,354756
Spine1,996,-1,266442,0,003525681
Spine2,996,-1,266438,0,00645441
Spine3,996,-1,266437,0,008782338
Spine4,996,-1,266437,0,008782338
LeftShoulder,996,-0,1089384,0,1283512
LeftArm,996,0,8268419,1,420341
LeftForeArm,996,0,7251102,1,417272
LeftHand,996,0,6162989,1,213524
LeftFinger1Metacarpal,996,1,220342,0,5009966
LeftFinger1Proximal,996,1,326722,0,5269046
LeftFinger1Distal,996,1,3566,0,441575
LeftFinger1Tip,996,1,3566,0,441575
