FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
RightFinger1Metacarpal,0.02784896771747211,0.2622198732342006,0.001029148020817843,-0.5281340754349445,-0.09682059956133852,0.23594869591078071,0.8085379525650563
RightFinger1Proximal,0.03399470843122678,0.2389161568773231,0.032400941458736066,0.6854060067921325,0.30348676609665404,0.04166521437858217,-0.652727341933085
RightFinger1Distal,0.017281119055762056,0.21785439078066884,0.045533628542750934,-0.721247140464079,-0.39315396334572494,-0.18500897488518553,0.5302529689962825
RightFinger1Tip,-0.010210020336133819,0.19827382289962817,0.04959971075539032,-0.7212457592093722,-0.39315451598513046,-0.18500785224536562,0.5302548532342013
RightFinger2Metacarpal,0.016034390446096645,0.2565439286988841,0.0010296588624535323,0.19360207069167834,-0.24373322030951453,0.2159197097397768,-0.9214633874349429
RightFinger2Proximal,0.02559854802973975,0.2023014998513022,0.0010297670022304825,0.7101696256992807,-0.3110720095856153,0.10379301049725964,-0.6157989414126386
RightFinger2Medial,0.022674784661710006,0.18724417710037178,0.04399571556877319,-0.9354000414239827,0.28799479242182013,0.154758859992271,-0.09203570802252775
RightFinger2Distal,0.02071694762081786,0.21410264498141318,0.05148849575910789,0.7466070133036127,-0.16365834145936775,-0.28202717656579074,0.5709483125650565
RightFinger2Tip,0.021538638855018555,0.23251729375464697,0.03135788051003715,0.7466071674664458,-0.16365816981101405,-0.282027029055468,0.5709482213382906
RightFinger3Metacarpal,0.00544753276356877,0.2553254173234222,0.0010293952245353174,-0.2141080683174377,0.22593230050469196,-0.2954101536704238,0.9021117605204441
RightFinger3Proximal,0.005447271824535329,0.2016758474349448,0.00102963109442379,0.7144495436174967,-0.35040148750236116,0.067885961795712,-0.5929875266914502
RightFinger3Medial,0.006610955183457246,0.18956598617100334,0.04617259058736067,-0.9032798889032425,0.2639033288545163,0.23775582613950028,-0.21012535840007446
RightFinger3Distal,0.004540308139033457,0.22009012966542796,0.045703891440892146,0.6047023582786203,-0.07311809894036068,-0.34603997057396063,0.7023893491449802
RightFinger3Tip,0.0037860651821561356,0.22860292938289958,0.017601879906319704,0.6047026177094473,-0.07311819993657201,-0.34603997832801914,0.7023891137546466
RightFinger4Metacarpal,-0.005475240690706321,0.2555698605204454,0.001029388970260222,-0.2329842269924865,0.20641226194536808,-0.3729090541858735,0.8729328691449812
RightFinger4Proximal,-0.014397164944237944,0.20497228698884637,0.0010295038617100381,0.7118235672241805,-0.4130062913764084,0.03820193205489636,-0.5580058342750928
RightFinger4Medial,-0.008059697298141273,0.1971964292936803,0.04354557475241639,-0.897477378687338,0.3187308195593664,0.2620745294117579,-0.10021183963018589
RightFinger4Distal,-0.008386571785130113,0.2245708756877322,0.04892422607881041,0.7230481118766904,-0.14312793481252747,-0.384814822209501,0.5380111159851301
RightFinger4Tip,-0.01193026547211896,0.24200152914498166,0.028834758379182184,0.7230481794145486,-0.14312798651512962,-0.38481480171879456,0.5380110171747217
RightFinger5Metacarpal,-0.014875887137546484,0.25812110014870027,0.0010292620237918198,-0.25008779060803,0.18532150160524657,-0.44757112044609715,0.8371097656505574
RightFinger5Proximal,-0.031351558334572475,0.2128551119702611,0.001029370370260224,0.6466202715728873,-0.43751387817864656,0.04472888713786926,-0.6162137685501862
RightFinger5Medial,-0.023196159397769565,0.20121224691449816,0.03340940604312274,-0.892481820873502,0.3550616134198655,0.25821156104773924,0.03027224718936804
RightFinger5Distal,-0.022330626646840164,0.22114684408921897,0.04298600442973979,0.7978443071025763,-0.19030477210415017,-0.39407883501129937,0.39648288785873587
RightFinger5Tip,-0.026068525368029744,0.2402492313011153,0.03205291303643127,0.7978443071025763,-0.19030477210415017,-0.39407883501129937,0.39648288785873587
